category,Total set price
Mar 06,1159.64
Mar 07,1156.19
Mar 08,1153.27
Mar 09,1139.84
Mar 10,1133
Mar 11,1136.72
Mar 12,1120.77
Mar 13,1110.87
Mar 14,1091.24
Mar 15,1079.29
Mar 16,1068.09
Mar 17,1066.31
Mar 18,1053.42
Mar 19,1040.54
Mar 20,1032.25
Mar 21,1046.48
Mar 22,1049.88
Mar 23,1054.48
Mar 24,1053.81
Mar 25,1051.41
Mar 26,1050.76
Mar 27,1039.34
Mar 28,1047.19
Mar 29,1027.43
Mar 30,1025.77
Mar 31,1017.77
Apr 01,1016.57
Apr 02,1018.35
Apr 03,1016.08
Apr 04,1020.79
Apr 05,1014.15
Apr 06,1012.01
Apr 07,997.01
Apr 08,980.61
Apr 09,955.78
Apr 10,958.85
Apr 11,959.48
Apr 12,959.22
Apr 13,977.97
Apr 14,976.05
Apr 15,969.69
Apr 16,970.46
Apr 17,972.09
Apr 18,976.02
Apr 19,971.22
Apr 20,981.59
Apr 21,985.13
Apr 22,987.47
Apr 23,972.49
Apr 24,971.68
Apr 25,970.23
Apr 26,968.12
Apr 27,967.86
Apr 28,960.38
Apr 29,965.4
Apr 30,957.65
May 01,967.56
May 02,970.71
May 03,968.93
May 04,964.45
May 05,962.75
May 06,944.09
May 07,935.24
May 08,934.75
May 09,927.7
May 10,929.16
May 11,926.95
May 12,921.56
May 13,914.69
May 14,907.37
May 15,891.51
May 16,887.98
May 17,891.88
May 18,890.02
May 19,885.32
May 20,887.33
May 21,884.92
May 22,884.96
May 23,884.84
May 24,894.27
May 25,891.41
May 26,885.16
May 27,876.56
May 28,865.69
May 29,853.41
May 30,847.59
May 31,843.13
Jun 01,825.6
Jun 02,819.12
Jun 03,813.12
Jun 04,812.08
Jun 05,810.8
Jun 06,807.51
Jun 07,805.32
Jun 08,794.52